Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
04-Sep-2026,29-Sep-2026,CE,"1,370.00","6.55","12.70","6.25","10.55","9.85","10.55","48,01,500","6,62,77,34,900.00","4,96,79,900.00","12,11,000","29,000"
04-Sep-2026,27-Oct-2026,CE,"1,170.00","-","-","-","166.35","-","167.75","-","-","-","-","-"
04-Sep-2026,29-Sep-2026,PE,"1,300.00","15.00","18.50","12.00","14.50","14.20","14.50","20,000","2,60,00,000.00","3,00,000.00","50,000","-5,000"
04-Sep-2026,29-Sep-2026,XX,"-","1,313.50","1,341.90","1,312.50","1,335.60","1,334.20","1,335.60","1,55,04,500","20,69,18,51,400.00","20,69,18,51,400.00","12,90,35,500","-82,500"
